timestamp,instance_traffic_SERVICE-C16E984A4D0792A9,meter_vm_memory_used_HOST-D9739223FC540A23,meter_vm_network_receive_HOST-D9739223FC540A23,meter_vm_network_transmit_HOST-D9739223FC540A23,service_cpm_SERVICE-C16E984A4D0792A9
2026-08-03 04:49:00,694.0,-941.9834798177084,85518.2855360243,2083643.834895187,694.0
2026-08-03 04:50:00,827.0,-943.0746256510416,111775.75897216797,2192757.554420047,827.0
2026-08-03 04:51:00,514.0,-939.8448893229166,61551.61411539713,1359451.3531866074,514.0
2026-08-03 04:52:00,688.0,-942.4091796875,83154.7998860677,2025689.6129323642,688.0
2026-08-03 04:53:00,660.0,-944.8368326822916,70669.95770941839,1810193.5943840875,660.0
2026-08-03 04:54:00,771.0,-942.7246907552084,85944.54535590277,2058465.017701043,771.0
2026-08-03 04:55:00,1049.0,-938.5846354166666,125794.81028238933,3296578.2302666237,1049.0
2026-08-03 04:56:00,590.0,-943.46630859375,70772.59542507595,1611732.4367938573,590.0
2026-08-03 04:57:00,370.0,-943.5413411458334,48163.916388617625,1002841.8675749036,321.0
2026-08-03 04:58:00,28.0,-938.5763346354166,51241.62615288629,1425740.3655090332,0.0
2026-08-03 04:59:00,,0.0,0.0,0.0,
