timestamp,database_access_cpm,meter_vm_cpu_total_percentage,meter_vm_network_receive,meter_vm_network_transmit,service_instance_cpm
2026-08-03 04:45:00,0.0,,,,751.0
2026-08-03 04:46:00,0.0,43.21278381347656,54801.832227918836,1344710.044712146,555.0
2026-08-03 04:47:00,0.0,27.182815551757812,60692.31344943576,2142992.6764499876,637.0
2026-08-03 04:48:00,0.0,26.978474934895832,62959.46329074437,1178168.792371114,591.0
2026-08-03 04:49:00,0.0,39.01607767740885,85518.2855360243,2083643.834895187,694.0
2026-08-03 04:50:00,0.0,35.415629069010414,111775.75897216797,2192757.554420047,827.0
2026-08-03 04:51:00,0.0,18.940027872721355,61551.61411539713,1359451.3531866074,514.0
2026-08-03 04:52:00,0.0,36.66895039876302,83154.7998860677,2025689.6129323642,688.0
2026-08-03 04:53:00,0.0,40.88936869303385,70669.95770941839,1810193.5943840875,660.0
2026-08-03 04:54:00,0.0,20.544016520182293,85944.54535590277,2058465.017701043,507.0
2026-08-03 04:55:00,0.0,0.0,0.0,0.0,0.0
